vehiculo_marca;vehiculo_modelo;vehiculo_traccion;vehiculo_id;vehiculo_cilindrada;vehiculo_potencia;vehiculo_tipo_transmision;vehiculo_tipo_combustible;vehiculo_standard_emision;lca_numero;fecha_firma;ensayo_gei_numero;ensayo_gei_laboratorio;emision_CO2;consumo_urbano;consumo_extraurbano;consumo_mixto;id_etiqueta
BMW;SEDÁN 4 PUERTAS;4x4;BMW N63B44D;4395;390;AUTOMÁTICA;NAFTA;EURO VI c;490;9/9/2019;201845908;DEKRA;177;14.5;7.7;10.2;000425B
BMW;SEDÁN 5 PUERTAS;4x4;BMW B48A20E;1998;225;AUTOMÁTICA;NAFTA;EURO VI b;513;1/11/2019;19-00157-CZ-GBM-00;TÜV SÜD Czech s.r.o.;171;9.3;6.4;7.5;000447B
BMW;SEDÁN 5 PUERTAS;4x2;BMW B38A15A;;;MANUAL;NAFTA;EURO VI b;514;1/11/2019;19-00091-CZ-GBM-00;TÜV SÜD Czech s.r.o.;143;7.9;5.3;6.3;000448B
BMW;RURAL - SEDÁN 5 PUERTAS;4x4;BMW S58B30A;2993;375;AUTOMATICA;NAFTA;;520;1/11/2019;19-00006-CZ-GBM-00;TÜV SÜD Czech s.r.o.;244;14.1;8.6;10.6;000454B
BMW;SEDÁN 4 PUERTAS / COUPÉ;4x2;BMW S58B30A;2993;11.15;AUTOMÁTICA;NAFTA;EURO VI;882;4/6/2021;20-00040-CZ-GBM-00;TÜV SÜD ;221;13.2;7.5;9.6;000763D
BMW;RURAL / SEDÁN 5 PUERTAS;4x4;BMW B48B20A;1998;135;AUTOMÁTICA;NAFTA;EURO VI b;938;8/11/2021;19-00143-CZ-GBM-03;TÜV SÜD Czech s.r.o.;178.67;8.8;7;7.83;000821D
BMW;RURAL / SEDÁN 5 PUERTAS;4x4;BMW B48B20B;1998;185;AUTOMÁTICA;NAFTA;EURO VI b;939;8/11/2021;19-00093-CZ-GBM-02;TÜV SÜD Czech s.r.o.;183.67;9;7.2;8;000822D
BORGWARD;SEDÁN;4x2;BORGWARD BWE420B;1981;;AUTOMÁTICA;NAFTA;EURO V;110;25/7/2018;CN16060398;IDIADA;221;12.1;7.61;9.3;000029A
BORGWARD;SEDÁN;4x4;BORGWARD BWE420B;1981;;AUTOMÁTICA;NAFTA;EURO V;110;25/7/2018;CN16060399;IDIADA;235.11;13.2;7.89;9.83;000030A
BORGWARD;SEDÁN;4x2;BORGWARD BWE418A;1797;;AUTOMÁTICA;NAFTA;EURO V;111;25/7/2018;CN17030294;IDIADA;194.7;11.16;6.48;8.2;000031A
BORGWARD;SEDÁN;4x4;BORGWARD BWE418A;1797;;AUTOMÁTICA;NAFTA;EURO V;111;25/7/2018;CN17030295;IDIADA;211.6;12.15;7.05;8.92;000032A
CHANGAN;RURAL;4x2;CHANGAN JL486ZQ2;1798;;AUTOMÁTICA;NAFTA;EURO V;78;11/6/2018;CN16030389 EXTENSION 01;IDIADA;186;11.4;5.6;7.7;000015A
CHANGAN;RURAL;4x4;CHANGAN JL486ZQ2;1798;;AUTOMÁTICA;NAFTA;EURO V;112;25/7/2018;CN16030400 EXTENSION 01;IDIADA;244;13.3;8.5;10.3;000033A
CHANGAN;SEDÁN 5 PUERTAS;4x2;CHANGAN JL478QEE;1598;;AUTOMÁTICA;NAFTA;EURO V;203;18/12/2018;CN18040605;IDIADA;166;10.1;5.1;7.0;000165A
CHANGAN;PICK UP;4x2;CHANGAN JL473Q;1243;68;MANUAL;NAFTA;EURO V;330;6/5/2019;CN18120787;IDIADA;173;9.1;6.1;7.2;000303B
CHANGAN;FURGÓN;4x2;CHANGAN JL473Q;1243;68;MANUAL;NAFTA;EURO V;333;6/5/2019;CN18120785;IDIADA;172;8.8;6.2;7.2;000306B
CHANGAN;PICK UP;4x2;CHANGAN JL473Q;1243;68;MANUAL;NAFTA;EURO V;335;6/5/2019;CN18120786;IDIADA;190;9.2;6.5;7.5;000308B
CHANGAN;RURAL;4x2;CHANGAN JL476ZQCD;1499;105;AUTOMÁTICA;NAFTA;EURO V;336;8/5/2019;CN18120249;IDIADA;172;9,2;6;7.2;000309B
CHANGAN;SEDÁN 5 PUERTAS;4x2;CHANGAN JL478QEP;1598;86;MANUAL;NAFTA;EURO  V;427;20/8/2019;CN19010035;IDIADA;172;9.2;6;7.2;000377B
CHANGAN;SEDÁN 5 PUERTAS;4x2;CHANGAN JL478QEP;1598;86;AUTOMÁTICA;NAFTA;EURO  V;433;2/8/2019;CN19010034 ;IDIADA;183;10;6.2;7.6;000384B
